rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
1,UNI/USDT,9,🚀 Pump,72,15m,0,9,ADX_15m=31.7 CCI_15m=130.1 RSI_1h=87.7 ADX_1h=68.0 ROC_1h=16.5 RSI_4h=88.7 ADX_4h=37.0 CCI_4h=172.6 ROC_4h=31.6
2,ETH/USDT,6,Watch,48,15m,0,6,WilliamsR_5m=-86.4 ADX_1h=39.1 RSI_4h=70.2 ADX_4h=29.9 CCI_4h=127.1 ROC_4h=10.0
3,BTC/USDT,2,Weak,16,15m,0,2,ADX_1h=29.0 ADX_4h=28.9
4,AVAX/USDT,3,Weak,24,15m,0,3,ADX_4h=25.4 CCI_4h=115.0 ROC_4h=5.2
5,DOGE/USDT,2,Weak,16,15m,0,2,CCI_4h=108.9 ROC_4h=5.4
6,PEPE/USDT,4,Watch,32,15m,0,4,ADX_5m=27.4 ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.4
7,LAUNCHCOIN/USDT,12,🔥 HOT,96,15m,0,12,ADX_5m=50.1 CCI_5m=-144.0 WilliamsR_5m=-92.0 ADX_15m=49.4 ROC_15m=9.0 RSI_1h=71.2 ADX_1h=36.8 CCI_1h=173.3 ROC_1h=27.2 ADX_4h=33.5 CCI_4h=238.5 ROC_4h=49.6
1,UNI/USDT,9,🚀 Pump,72,15m,0,9,ADX_15m=31.3 CCI_15m=142.6 RSI_1h=87.8 ADX_1h=68.0 ROC_1h=16.6 RSI_4h=88.8 ADX_4h=37.0 CCI_4h=172.7 ROC_4h=31.6
2,ETH/USDT,5,Watch,40,15m,0,5,WilliamsR_5m=-90.9 ADX_1h=39.1 ADX_4h=29.9 CCI_4h=126.7 ROC_4h=9.9
3,BTC/USDT,2,Weak,16,15m,0,2,ADX_1h=29.0 ADX_4h=28.9
4,AVAX/USDT,4,Watch,32,15m,0,4,WilliamsR_5m=-80.4 ADX_4h=25.4 CCI_4h=114.3 ROC_4h=5.1
5,DOGE/USDT,3,Weak,24,15m,0,3,WilliamsR_5m=-80.8 CCI_4h=108.3 ROC_4h=5.3
